,text,aspectCategory,polarity
0,But the staff was so horrible to us.,service,negative
1,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive
2,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive
3,Where Gabriela personaly greets you and recommends you what to eat.,service,positive
4,"Not only was the food outstanding, but the little 'perks' were great.",service,positive
5,It is very overpriced and not very tasty.,price,negative
6,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,service,positive
7,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",food,positive
8,Nevertheless the food itself is pretty good.,food,positive
9,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.",ambience,neutral
10,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",food,negative
11,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",service,conflict
12,The design and atmosphere is just as good.,ambience,positive
13,He has visited Thailand and is quite expert on the cuisine.,food,positive
14,The pizza is the best if you like thin crusted pizza.,food,positive
15,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",ambience,negative
16,Obviously run by folks who know a pie.,service,positive
17,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,price,positive
18,"All the money went into the interior decoration, none of it went to the chefs.",food,negative
19,The seats are uncomfortable if you are sitting against the wall on wooden benches.,ambience,negative
20,"I asked for seltzer with lime, no ice.",food,neutral
21,It was pretty inexpensive too.,price,positive
22,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",food,positive
23,My suggestion is to eat family style because you'll want to try the other dishes.,food,neutral
24,"Best of all is the warm vibe, the owner is super friendly and service is fast.",ambience,positive
25,This isn't a value joint.,price,negative
26,Faan's got a great concept but a little rough on the delivery.,service,negative
27,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",ambience,positive
28,"Great food at REASONABLE prices, makes for an evening that can't be beat!",price,positive
29,this little place has a cute interior decor and affordable city prices.,price,positive
30,Two words: Free wine.,price,positive
31,The price is reasonable although the service is poor.,price,positive
32,"The quantity is also very good, you will come out satisfied.",food,positive
